runnumber,scaledown00,scaledown01,scaledown02,scaledown03,scaledown04,scaledown05,scaledown06,scaledown07,scaledown08,scaledown09,scaledown10,scaledown11,scaledown12,scaledown13,scaledown14,scaledown15,scaledown16,scaledown17,scaledown18,scaledown19,scaledown20,scaledown21,scaledown22,scaledown23,scaledown24,scaledown25,scaledown26,scaledown27,scaledown28,scaledown29,scaledown30,scaledown31,scaledown32,scaledown33,scaledown34,scaledown35,scaledown36,scaledown37,scaledown38,scaledown39,scaledown40,scaledown41,scaledown42,scaledown43,scaledown44,scaledown45,scaledown46,scaledown47,scaledown48,scaledown49,scaledown50,scaledown51,scaledown52,scaledown53,scaledown54,scaledown55,scaledown56,scaledown57,scaledown58,scaledown59,scaledown60,scaledown61,scaledown62,scaledown63
51489,362530,-1,-1,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,5,0,0,-1,11,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51490,306756,-1,-1,52,-1,-1,-1,-1,-1,-1,4998,-1,576,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,4,0,0,-1,8,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51491,306756,-1,-1,48,-1,-1,-1,-1,-1,-1,3077,-1,354,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,4,0,0,-1,7,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51492,306756,-1,-1,42,-1,-1,-1,-1,-1,-1,1780,-1,202,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,3,0,0,-1,6,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51493,227876,-1,-1,30,-1,-1,-1,-1,-1,-1,921,-1,105,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,2,0,0,-1,4,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51494,227876,-1,-1,28,-1,-1,-1,-1,-1,-1,796,-1,90,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,2,0,0,-1,4,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51495,227876,-1,-1,26,-1,-1,-1,-1,-1,-1,721,-1,81,-1,-1,-1,-1,0,0,0,-1,0,0,0,-1,2,0,0,-1,3,0,0,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51502,265855,-1,-1,87,-1,-1,-1,-1,-1,-1,1296,-1,140,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,6,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51504,398783,-1,-1,114,-1,-1,-1,-1,-1,-1,2274,-1,250,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,8,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51506,398783,-1,-1,72,-1,-1,-1,-1,-1,-1,1407,-1,159,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,5,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51508,398783,-1,-1,71,-1,-1,-1,-1,-1,-1,1373,-1,156,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,5,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51509,398783,-1,-1,62,-1,-1,-1,-1,-1,-1,1163,-1,130,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,4,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51510,398783,-1,-1,58,-1,-1,-1,-1,-1,-1,1099,-1,123,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,4,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51511,398783,-1,-1,54,-1,-1,-1,-1,-1,-1,1016,-1,113,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,4,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51517,398783,-1,-1,141,-1,-1,-1,-1,-1,-1,4259,-1,1500,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,10,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51518,398783,-1,-1,141,-1,-1,-1,-1,-1,-1,4259,-1,1750,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,10,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51520,398783,-1,-1,100,-1,-1,-1,-1,-1,-1,6000,-1,150,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,-1,10,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51562,93831,-1,-1,14,-1,-1,-1,-1,-1,-1,7170,-1,914,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,24,1,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51565,93831,-1,-1,11,-1,-1,-1,-1,-1,-1,4452,-1,204,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,14,0,0,-1,-1,-1,-1,-1,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
51570,93831,-1,-1,93,-1,-1,-1,-1,-1,-1,3777,-1,1557,-1,-1,-1,-1,5,1,0,-1,-1,-1,-1,-1,96,5,2,-1,-1,-1,-1,-1,2,0,0,6,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
