47289, 1
47293, 1
47306, 1
47310, 1
47313, 1
47314, 1
47315, 1
47316, 1
47333, 1
47334, 1
47352, 1
47357, 1
47360, 1
47363, 1
47376, 1
47377, 1
47378, 1
47379, 1
47380, 1
47381, 1
47382, 1
47391, 1
47393, 1
47394, 1
47395, 1
47396, 1
47440, 1
47454, 1
47457, 1
47458, 1
47459, 1
47461, 1
47463, 1
47464, 1
47474, 1
47478, 1
47480, 1
47481, 1
47482, 1
47484, 1
47485, 1
47489, 1
47491, 1
47492, 1
47494, 1
47495, 1
47497, 1
47501, 1
47502, 1
47503, 1
47506, 1
47507, 1
47509, 1
47513, 1
47514, 1
47516, 1
47517, 1
47519, 1
47521, 1
47522, 1
47524, 1
47525, 1
47540, 1
47547, 1
47549, 1
47552, 1
47557, 1
47568, 1
47582, 1
47601, 1
47628, 1
47634, 1
47635, 1
47636, 1
47637, 1
47638, 1
47650, 1
47657, 1
47658, 1
47659, 1
47661, 1
47662, 1
47664, 1
47666, 1
47667, 1
47714, 1
47715, 1
47716, 1
47719, 1
47720, 1
47722, 1
47723, 1
47724, 1
47725, 1
47726, 1
47727, 1
47730, 1
47732, 1
47733, 1
47783, 1
47791, 1
47810, 1
47824, 1
47831, 1
47834, 1
47836, 1
47852, 1
47856, 1
47869, 1
47873, 1
47889, 1
47890, 1
47892, 1
47893, 1
47940, 1
47944, 1
47946, 1
47972, 1
47975, 1
47976, 1
47977, 1
47978, 1
47979, 1
47982, 1
47999, 1
48001, 1
48002, 1
48008, 1
48011, 1
48073, 1
48079, 1
48082, 1
48084, 1
48085, 1
48086, 1
48089, 1
48097, 1
48099, 1
48166, 1
48181, 1
48185, 1
48230, 1
48233, 1
48236, 1
48237, 1
48239, 1
48240, 1
48244, 1
48245, 1
48246, 1
48253, 1
48255, 1
48256, 1
48257, 1
48258, 1
48259, 1
48260, 1
48261, 1
48262, 1
48263, 1
48265, 1
48290, 1
48291, 1
48293, 1
48294, 1
48295, 1
48307, 1
48312, 1
48313, 1
48318, 1
48320, 1
48323, 1
48325, 1
48326, 1
48327, 1
48336, 1
48337, 1
48341, 1
48342, 1
48343, 1
48346, 1
48347, 1
48348, 1
48349, 1
48352, 1
48356, 1
48357, 1
48358, 1
48359, 1
48364, 1
48366, 1
48367, 1
48368, 1
48369, 1
48398, 1
48409, 1
48410, 1
48412, 1
48416, 1
48417, 1
48418, 1
48421, 1
48423, 1
48455, 1
48456, 1
48461, 1
48462, 1
48469, 1
48471, 1
48510, 1
48511, 1
48512, 1
48513, 1
48514, 1
48516, 1
48518, 1
48519, 1
48520, 1
48521, 1
48522, 1
48529, 1
48530, 1
48531, 1
48532, 1
48533, 1
48635, 1
48636, 1
48645, 1
48656, 1
48657, 1
48658, 1
48660, 1
48701, 1
48720, 1
48721, 1
48722, 1
48725, 1
48726, 1
48727, 1
48731, 1
48732, 1
48734, 1
48742, 1
48743, 1
48745, 1
48746, 1
48801, 1
48803, 1
48805, 1
48806, 1
48807, 1
48810, 1
48813, 1
48824, 1
48826, 1
48828, 1
48829, 1
48832, 1
48836, 1
48838, 1
48839, 1
48863, 1
48864, 1
48865, 1
48867, 1
48883, 1
48885, 1
48891, 1
48892, 1
48893, 1
48894, 1
48895, 1
48897, 1
48899, 1
48900, 1
48901, 1
48902, 1
48903, 1
48935, 1
48938, 1
48940, 1
48943, 1
48946, 1
48949, 1
48951, 1
48971, 1
48982, 1
48983, 1
48984, 1
48985, 1
48986, 1
48987, 1
48988, 1
48990, 1
48991, 1
49023, 1
49026, 1
49027, 1
49029, 1
49030, 1
49031, 1
49035, 1
49038, 1
49042, 1
49045, 1
49048, 1
49053, 1
49054, 1
49060, 1
49061, 1
49062, 1
49063, 1
49065, 1
49066, 1
49067, 1
49069, 1
49070, 1
49071, 1
49072, 1
49073, 1
49098, 1
49099, 1
49100, 1
49111, 1
49113, 1
49116, 1
49118, 1
49121, 1
49125, 1
49127, 1
49128, 1
49133, 1
49136, 1
49138, 1
49140, 1
49141, 1
49143, 1
49148, 1
49157, 1
49159, 1
49165, 1
49217, 1
49218, 1
49219, 1
49224, 1
49226, 1
49227, 1
49228, 1
49229, 1
49230, 1
49233, 1
49240, 1
49241, 1
49244, 1
49245, 1
49247, 1
49248, 1
49249, 1
49250, 1
49251, 1
49254, 1
49262, 1
49263, 1
49264, 1
49265, 1
49266, 1
49267, 1
49268, 1
49270, 1
49307, 1
49308, 1
49309, 1
49310, 1
49311, 1
49312, 1
49313, 1
49314, 1
49316, 1
49317, 1
49324, 1
49329, 1
49330, 1
49331, 1
49337, 1
49339, 1
49340, 1
49341, 1
49345, 1
49346, 1
49347, 1
49348, 1
49349, 1
49351, 1
49352, 1
49356, 1
49358, 1
49359, 1
49360, 1
49361, 1
49362, 1
49365, 1
49366, 1
49367, 1
49368, 1
49369, 1
49374, 1
49376, 1
49377, 1
49378, 1
49379, 1
49380, 1
49381, 1
49382, 1
49383, 1
49384, 1
49385, 1
49390, 1
49432, 1
49433, 1
49434, 1
49435, 1
49437, 1
49438, 1
49439, 1
49440, 1
49445, 1
49446, 1
49447, 1
49448, 1
49449, 1
49451, 1
49452, 1
49453, 1
49454, 1
49455, 1
49456, 1
49457, 1
49464, 1
49466, 1
49468, 1
49652, 1
49653, 1
49655, 1
49656, 1
49658, 1
49659, 1
49660, 1
49661, 1
49662, 1
49664, 1
49736, 1
49737, 1
49742, 1
49743, 1
49749, 1
49751, 1
49752, 1
49756, 1
49758, 1
49760, 1
49761, 1
49762, 1
49919, 1
49922, 1
49923, 1
49925, 1
49926, 1
49928, 1
49930, 1
49934, 1
49959, 1
49962, 1
49964, 1
49966, 1
49967, 1
49968, 1
49969, 1
49970, 1
50853, 1
50857, 1
50874, 1
50875, 1
50885, 1
50886, 1
50887, 1
50889, 1
50897, 1
50962, 1
50965, 1
50969, 1
50981, 1
50987, 1
50992, 1
50996, 1
51012, 1
51015, 1
51093, 1
51095, 1
51152, 1
51154, 1
51160, 1
51161, 1
51162, 1
51163, 1
51166, 1
51167, 1
51171, 1
51172, 1
51176, 1
51177, 1
51179, 1
51183, 1
51188, 1
51200, 1
51201, 1
51202, 1
51208, 1
